,股票名稱,股票類別,Date,稅後淨利率,EPS(元),Close,漲跌幅_next,漲跌幅_標籤
0,上海商銀(5876),金融保險業,2014-11-14,0.37028169014084505,1.38,21.293216705322266,0.0501246083539103,1
1,上海商銀(5876),金融保險業,2015-03-31,0.37362710070133653,1.49,22.360530853271484,0.01845989860584314,1
2,上海商銀(5876),金融保險業,2015-05-15,0.37362710070133653,1.49,22.773303985595703,-0.018216012536254884,-1
3,上海商銀(5876),金融保險業,2015-08-14,0.3835703001579779,1.52,22.35846519470215,-0.14783853816771916,-1
4,上海商銀(5876),金融保險業,2016-03-31,0.3732547713590368,1.46,19.053022384643555,0.018392233026814468,1
5,上海商銀(5876),金融保險業,2016-08-14,0.35790402925783465,1.4,19.40345001220703,-0.06928558705812919,-1
6,上海商銀(5876),金融保險業,2016-11-14,0.35790402925783465,1.4,18.059070587158203,0.18572522162187052,1
7,上海商銀(5876),金融保險業,2017-03-31,0.36584924986443335,1.49,21.413095474243164,-0.031715219234553844,-1
8,上海商銀(5876),金融保險業,2017-05-15,0.33272103845211853,0.67,20.73397445678711,0.1167134320597974,1
9,上海商銀(5876),金融保險業,2017-08-14,0.3804253472222222,0.86,23.153907775878906,0.07228150251628675,1
10,上海商銀(5876),金融保險業,2017-11-14,0.3608271375464684,0.77,24.82750701904297,0.0055685883219516,1
11,上海商銀(5876),金融保險業,2018-03-31,0.34818782767266926,0.75,24.965761184692383,0.07315652716210075,1
12,上海商銀(5876),金融保險業,2018-05-15,0.35142891306947266,0.72,26.79216957092285,0.03538361335058707,1
13,上海商銀(5876),金融保險業,2018-08-14,0.3834073767951235,0.91,27.74017333984375,0.0788095853639754,1
14,上海商銀(5876),金融保險業,2018-11-14,0.37631912199240186,0.88,29.92636489868164,0.24393382449011902,1
15,上海商銀(5876),金融保險業,2019-03-31,0.36569037656903763,0.86,37.226417541503906,0.045174235619113316,1
16,上海商銀(5876),金融保險業,2019-05-15,0.3741652754590985,0.88,38.9080924987793,-0.04125016434592088,-1
17,上海商銀(5876),金融保險業,2019-08-14,0.3613194758246724,0.98,37.30312728881836,0.11691803209619676,1
18,上海商銀(5876),金融保險業,2019-11-14,0.3423398584688907,0.91,41.66453552246094,-0.2359222230726889,-1
19,上海商銀(5876),金融保險業,2020-03-31,0.35576310762046276,0.8,31.834945678710938,0.07369729693457666,1
20,上海商銀(5876),金融保險業,2020-05-15,0.36206376345167457,0.81,34.181095123291016,0.0881359908280563,1
21,上海商銀(5876),金融保險業,2020-08-14,0.351695854577699,0.71,37.19367980957031,-0.0931817109568107,-1
22,上海商銀(5876),金融保險業,2020-11-14,0.3520889153517912,0.79,33.727909088134766,0.051378324367541556,1
23,上海商銀(5876),金融保險業,2021-03-31,0.35749231994538627,0.7,35.460792541503906,0.016686614670614816,1
24,上海商銀(5876),金融保險業,2021-05-15,0.3669525781327024,0.83,36.052513122558594,0.008978779911014237,1
25,上海商銀(5876),金融保險業,2021-08-14,0.38799826689774697,0.8,36.376220703125,0.09178750243293489,1
26,上海商銀(5876),金融保險業,2021-11-14,0.3611976288556214,0.8,39.71510314941406,0.11061930582391291,1
27,上海商銀(5876),金融保險業,2022-03-31,0.3795793758480326,0.75,44.108360290527344,-0.06772891758719515,-1
28,上海商銀(5876),金融保險業,2022-05-15,0.3630833665735939,0.81,41.120948791503906,0.1671823006583726,1
29,上海商銀(5876),金融保險業,2022-08-14,0.35140913508260446,0.81,47.995643615722656,-0.11579904894144465,-1
30,上海商銀(5876),金融保險業,2022-11-14,0.4364245469773108,1.28,42.43779373168945,0.02065221231134402,1
31,上海商銀(5876),金融保險業,2023-03-31,0.1748452498430071,0.43,43.31422805786133,-0.011714583517730534,-1
32,上海商銀(5876),金融保險業,2023-05-15,0.37397945746642086,0.88,42.806819915771484,-0.03333576615211213,-1
33,上海商銀(5876),金融保險業,2023-08-14,0.4066420664206642,1.14,41.37982177734375,0.039443107112883076,1
34,上海商銀(5876),金融保險業,2023-11-14,0.3740766125961465,1.01,43.01197052001953,0.07031253187268133,1
35,上海商銀(5876),金融保險業,2024-03-31,-0.0019574695257585195,0.0,46.036251068115234,-0.03545355464025196,-1
36,上海商銀(5876),金融保險業,2024-05-15,0.3512681306215055,0.89,44.40410232543945,-0.06427566235797472,-1
37,上海商銀(5876),金融保險業,2024-08-14,0.11454431960049938,0.3,41.54999923706055,-0.04452463316704436,-1
38,上海商銀(5876),金融保險業,2024-11-14,0.3414599065084502,0.98,39.70000076293945,0.1045339453760345,1
39,世芯-KY(3661),半導體業,2012-11-14,0.012223071046600458,0.3,33.01426315307617,-0.29604369569510214,-1
40,世芯-KY(3661),半導體業,2013-03-31,0.003671071953010279,0.1,23.240598678588867,-0.21472868541515813,-1
41,世芯-KY(3661),半導體業,2013-05-15,-0.1452513966480447,-1.45,18.25017547607422,0.46495560153121523,1
42,世芯-KY(3661),半導體業,2013-08-14,0.005119453924914676,0.06,26.73569679260254,0.6206198025925996,1
43,世芯-KY(3661),半導體業,2013-11-14,0.12658227848101267,1.68,43.328399658203125,0.9750520325260514,1
44,世芯-KY(3661),半導體業,2014-03-31,0.13066666666666665,1.82,85.57584381103516,0.028000114473222138,1
